[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[FEMALE] wanted to have pistachio ice cream after dinner .|||her husband [MALE] said no because they were going to have dessert at their favourite restaurant . [FEMALE] said she would rather have the ice cream at the restaurant . [MALE] said no again and they had an argument .
on the way to school , [MALE] saw a dog running in the street .|||[MALE] wanted to help the dog but he was scared it would bite him . he decided to go to school and tell his teacher .
[NEUTRAL] and her family were on a river cruise .|||the cruise was very relaxing . [NEUTRAL] and her family were able to see a lot of the sights that they would never have seen if they were just driving around . the only thing that was a little disappointing was that the cruise was too short .
[MALE] was a man but was very feminine .|||he liked to dress up in women 's clothing and do his hair and makeup . he was very good at it and looked like a real woman . he would go out in public and no one ever knew it was a man .
[MALE] was trying to feed ducks bread .|||the ducks kept swimming away from him , so he started to walk away , but then he saw a duckling that was alone and far away from the others . he decided to stay and feed the duckling .
[FEMALE] was dared to try a sea scallop on a dare .|||[FEMALE] was hesitant at first , but then she thought , `` what the heck , it 's just a scallop . '' she took a bite and loved the taste . from then on , she was a fan of seafood .
[FEMALE] had been losing a lot of weight recently .|||[FEMALE] had been trying to diet and lose weight recently . she had been eating healthy and going to the gym , but the weight was still coming off slowly . [FEMALE] 's friends were starting to ask her what she was doing to lose weight , and she was n't sure how to answer .
[MALE] has been with his girlfriend for about 3 years .|||[MALE] has been with his girlfriend for about 3 years . during that time , they have both grown and changed a lot . [MALE] wants to propose to her , but is unsure if she is ready for marriage . he thinks that she may be content with just living together .
[MALE] gets terrible news one day .|||[MALE] gets a call from his doctor . the doctor tells him that he has cancer and only has a few months to live .
[FEMALE] loves to dance .|||[FEMALE] loves to dance but she was never very good at it . she would always go to the studio and take classes but she never felt confident enough to perform . one day , she saw an audition for a dance crew and decided to try out . she was n't the best dancer there but she had the most passion . the crew loved her and she has been with them ever since .
[FEMALE] decided to have a garden instead of a yard .|||[FEMALE] decided to have a garden instead of a yard . she wanted to be able to plant whatever she wanted and not have to worry about keeping the grass cut . [FEMALE] also liked the idea of being able to relax in her garden on the weekends .
